Question|Option A|Option B|Option C|Option D|Correct Index|Explanation
Gupta Empire: 1. Chandragupta I was 'Maharajadhiraja'. 2. Faxian visited Samudragupta. 3. Golden Age of Indian art.|1 and 3 only|1 and 2 only|2 and 3 only|3 only|0|Faxian (Fa-Hien) visited during the reign of Chandragupta II, not Samudragupta.
Quit India Movement: 1. Launched after Cripps failure. 2. "Do or Die" slogan. 3. Parallel governments formed.|1 and 2 only|2 and 3 only|1 and 3 only|1, 2 and 3|3|All statements are hallmarks of the 1942 Quit India struggle.
Mughal Administration: 1. Mansabdari by Akbar. 2. Zat is rank, Sawar is military. 3. Jagirdari was hereditary ownership.|1 only|1 and 2 only|2 and 3 only|1, 2 and 3|1|Jagirdari was the right to collect revenue, but it was generally not hereditary.
Rig Vedic Period: 1. Pastoral society. 2. Women attended Sabhas. 3. Idol worship was primary.|1 and 2 only|2 and 3 only|1 and 3 only|1, 2 and 3|0|Rig Vedic people worshipped nature and forces through prayers/sacrifices, not idols.
Raja Ram Mohan Roy: 1. Founded Brahmo Samaj 1828. 2. Campaigned against Sati. 3. Advocated monotheism.|1 and 2 only|2 and 3 only|1 and 3 only|1, 2 and 3|3|He is known as the 'Father of Modern India' for these reforms.
INC Sessions: 1. 1st session Bombay 1885. 2. W.C. Bonnerjee first President. 3. Surat Split in 1907.|1 and 2 only|2 and 3 only|1 and 3 only|1, 2 and 3|3|These are foundational facts about the early history of the Indian National Congress.
Vijayanagara Empire: 1. Founded by Harihara/Bukka 1336. 2. Krishna Deva Raya was Tuluva. 3. Battle of Talikota was the decline.|1 and 2 only|2 and 3 only|1 and 3 only|1, 2 and 3|3|Talikota (1565) shattered the power of the Vijayanagara Empire.
Rowlatt Act 1919: 1. Detention without trial. 2. Satyagraha by Gandhi. 3. Led to Jallianwala Massacre.|1 and 2 only|2 and 3 only|1 and 3 only|1, 2 and 3|3|The Rowlatt Act was a major catalyst for the nationwide mass movements.
Subsidiary Alliance: 1. By Lord Wellesley. 2. Maintain British force. 3. Hyderabad was first.|1 and 2 only|2 and 3 only|1 and 3 only|1, 2 and 3|3|This system allowed the British to expand without direct annexation initially.
Khilafat Movement: 1. Led by Ali brothers. 2. Aimed to protect Caliphate. 3. Merged with Non-Cooperation.|1 and 2 only|2 and 3 only|1 and 3 only|1, 2 and 3|3|The Khilafat issue was used by Gandhi to unite Hindus and Muslims in 1920.
Simon Commission (1927): 1. Review 1919 Act. 2. No Indian members. 3. Lala Lajpat Rai died protesting.|1 and 2 only|2 and 3 only|1 and 3 only|1, 2 and 3|3|The "Simon Go Back" protests were a turning point in Indian nationalism.
Sangam Literature: 1. Earliest Tamil literature. 2. Info on Cholas/Cheras/Pandyas. 3. Tolkappiyam is grammar.|1 and 2 only|2 and 3 only|1 and 3 only|1, 2 and 3|3|Sangam literature is the primary source for early South Indian history.
Maratha Confederacy: 1. Chauth/Sardeshmukhi taxes. 2. Peshwa supreme after Shahu. 3. 3rd Panipat against British.|1 and 2 only|1 only|2 and 3 only|1, 2 and 3|0|The Third Battle of Panipat (1761) was against Ahmad Shah Abdali (Afghans).
Wood's Despatch (1854): 1. Magna Carta of education. 2. Established 3 Universities. 3. Discouraged vernaculars.|1 and 2 only|2 only|1 and 3 only|1, 2 and 3|0|It actually encouraged vernacular languages at the school level and English at higher levels.
