Question|Option A|Option B|Option C|Option D|Correct Index|Explanation
With reference to Buddhism: 1. Buddha attained enlightenment in Bodh Gaya. 2. First sermon was at Sarnath. 3. It rejects the concept of soul.|1 and 2 only|2 and 3 only|1 and 3 only|1, 2 and 3|3|Buddhism (Anatta) differs from Hinduism by not believing in an eternal soul.
Regarding the Quit India Movement (1942): 1. "Do or Die" slogan. 2. Parallel governments formed. 3. Launched during World War I.|1 and 2 only|2 and 3 only|1 and 3 only|1, 2 and 3|0|It was launched during World War II, not World War I.
Consider the Mughal Architecture: 1. Akbar built Fatehpur Sikri. 2. Shah Jahan built Taj Mahal. 3. Aurangzeb built Bibi ka Maqbara.|1 and 2 only|2 and 3 only|1 and 3 only|1, 2 and 3|3|All these structures represent different phases of Mughal architectural style.
With reference to the Vijayanagara Empire: 1. Founded by Harihara and Bukka. 2. Hampi was the capital. 3. Visited by Nicolo Conti.|1 and 2 only|2 and 3 only|1 and 3 only|1, 2 and 3|3|Vijayanagara was a powerful Hindu empire in South India for over 200 years.
Regarding the Rowlatt Act (1919): 1. Allowed imprisonment without trial. 2. Called the 'Black Act'. 3. Led to Jallianwala Bagh massacre.|1 and 2 only|2 and 3 only|1 and 3 only|1, 2 and 3|3|The draconian provisions of this act sparked massive protests across India.
Consider the Indian National Congress: 1. Founded by A.O. Hume in 1885. 2. First President was W.C. Bonnerjee. 3. First session in Bombay.|1 and 2 only|2 and 3 only|1 and 3 only|1, 2 and 3|3|The INC was the primary vehicle for India's freedom struggle.
With reference to Marathas: 1. Shivaji used Guerilla warfare. 2. Chauth was a 1/4th tax. 3. Peshwa was the Prime Minister.|1 and 2 only|2 and 3 only|1 and 3 only|1, 2 and 3|3|Shivaji's military and administrative systems were highly efficient.
Regarding the Cabinet Mission (1946): 1. Rejected Pakistan. 2. Suggested Constituent Assembly. 3. Proposed a strong center.|1 and 2 only|2 and 3 only|1 and 3 only|1, 2 and 3|0|The Mission actually proposed a weak center with powers limited to Defense and Foreign Affairs.
Consider the Battle of Buxar (1764): 1. Fought at Buxar, Bihar. 2. Hector Munro led the British. 3. Resulted in Diwani rights of Bengal.|1 and 2 only|2 and 3 only|1 and 3 only|1, 2 and 3|3|This battle established the British as real masters of Bengal and Bihar.
With reference to Jainism: 1. Mahavira was the 24th Tirthankara. 2. Triratnas are part of it. 3. It believes in extreme penance.|1 and 2 only|2 and 3 only|1 and 3 only|1, 2 and 3|3|Jainism focuses on Ahimsa and asceticism as paths to liberation.
Regarding Wood's Despatch (1854): 1. Called Magna Carta of Indian Education. 2. Aimed at spreading English. 3. Supported female education.|1 and 2 only|2 and 3 only|1 and 3 only|1, 2 and 3|3|It revolutionized the education system under British rule.
Consider Raja Ram Mohan Roy: 1. Founded Brahmo Samaj. 2. Campaigned against Sati. 3. Advocated Western education.|1 and 2 only|2 and 3 only|1 and 3 only|1, 2 and 3|3|He is known as the Father of Modern Indian Renaissance.
With reference to the Quit India Movement in Bihar: 1. Jayaprakash Narayan escaped Hazaribagh jail. 2. Azad Dasta was formed. 3. Parallel govt in Bhagalpur.|1 and 2 only|2 and 3 only|1 and 3 only|1, 2 and 3|3|Bihar was the heart of the 1942 movement with significant local leadership.
Regarding the Simon Commission: 1. All-white commission. 2. Boycotted by Congress and Muslim League. 3. To review 1919 reforms.|1 and 2 only|2 and 3 only|1 and 3 only|1, 2 and 3|3|The lack of Indian members led to nationwide 'Simon Go Back' protests.
